DATE	TIME	FIELD
02.06.2025	05:46:21.001	55162.091
02.06.2025	05:46:41.001	55161.949
02.06.2025	05:47:01.001	55161.851
02.06.2025	05:47:21.001	55161.827
02.06.2025	05:47:41.001	55161.944
02.06.2025	05:48:01.001	55161.98
02.06.2025	05:48:21.001	55161.997
02.06.2025	05:48:41.001	55162.042
02.06.2025	05:49:01.001	55162.113
02.06.2025	05:49:21.001	55162.235
02.06.2025	05:49:41.000	55162.359
02.06.2025	05:50:01.000	55162.404
02.06.2025	05:50:21.000	55162.387
02.06.2025	05:50:41.000	55162.46
02.06.2025	05:51:01.000	55162.6
02.06.2025	05:51:21.000	55162.641
02.06.2025	05:51:41.000	55162.679
02.06.2025	05:52:01.000	55162.648
02.06.2025	05:52:21.000	55162.414
02.06.2025	05:52:41.000	55162.425
02.06.2025	05:53:01.000	55162.702
02.06.2025	05:53:21.000	55162.972
02.06.2025	05:53:41.000	55163.356
02.06.2025	05:54:01.000	55163.701
02.06.2025	05:54:21.000	55163.794
02.06.2025	05:54:41.000	55163.879
02.06.2025	05:55:01.000	55163.877
02.06.2025	05:55:21.000	55163.939
02.06.2025	05:55:41.000	55164.028
02.06.2025	05:56:01.000	55164.272
02.06.2025	05:56:21.000	55164.072
02.06.2025	05:56:41.000	55164.007
02.06.2025	05:57:01.000	55164.011
02.06.2025	05:57:21.000	55164.048
02.06.2025	05:57:41.000	55164.128
02.06.2025	05:58:01.000	55164.101
02.06.2025	05:58:21.000	55163.943
02.06.2025	05:58:41.000	55164.064
02.06.2025	05:59:01.000	55164.187
02.06.2025	05:59:21.000	55164.317
02.06.2025	05:59:41.000	55164.484
02.06.2025	06:00:01.000	55164.713
02.06.2025	06:00:21.000	55164.859
02.06.2025	06:00:41.000	55165.094
02.06.2025	06:01:01.000	55165.211
02.06.2025	06:01:21.000	55165.452
02.06.2025	06:01:41.000	55165.349
02.06.2025	06:02:01.000	55165.405
02.06.2025	06:02:21.000	55165.628
02.06.2025	06:02:41.000	55165.446
02.06.2025	06:03:01.000	55165.433
02.06.2025	06:03:21.000	55165.353
02.06.2025	06:03:41.000	55165.302
02.06.2025	06:04:01.000	55165.344
02.06.2025	06:04:21.000	55165.417
02.06.2025	06:04:41.000	55165.367
02.06.2025	06:05:01.000	55165.316
02.06.2025	06:05:21.000	55165.36
02.06.2025	06:05:41.000	55165.259
02.06.2025	06:06:01.000	55164.955
02.06.2025	06:06:21.000	55164.612
02.06.2025	06:06:41.000	55164.305
02.06.2025	06:07:01.000	55164.047
02.06.2025	06:07:21.000	55163.805
02.06.2025	06:07:41.000	55163.766
02.06.2025	06:08:01.000	55163.642
02.06.2025	06:08:21.000	55163.57
02.06.2025	06:08:41.000	55163.587
02.06.2025	06:09:01.000	55163.707
02.06.2025	06:09:21.000	55163.643
02.06.2025	06:09:41.000	55163.513
02.06.2025	06:10:01.000	55163.282
02.06.2025	06:10:21.000	55163.248
02.06.2025	06:10:41.000	55163.193
02.06.2025	06:11:01.000	55163.247
02.06.2025	06:11:21.000	55163.531
02.06.2025	06:11:41.000	55163.651
02.06.2025	06:12:01.000	55163.896
02.06.2025	06:12:21.000	55164.164
02.06.2025	06:12:41.000	55164.194
02.06.2025	06:13:01.000	55164.121
02.06.2025	06:13:21.000	55164.232
02.06.2025	06:13:41.000	55164.441
02.06.2025	06:14:01.000	55164.574
02.06.2025	06:14:21.000	55164.623
02.06.2025	06:14:41.000	55164.711
02.06.2025	06:15:01.000	55164.685
02.06.2025	06:15:21.000	55164.714
02.06.2025	06:15:41.000	55164.604
02.06.2025	06:16:01.000	55164.478
02.06.2025	06:16:21.000	55164.538
02.06.2025	06:16:41.000	55164.666
02.06.2025	06:17:01.000	55164.867
02.06.2025	06:17:21.000	55165.078
02.06.2025	06:17:41.000	55165.414
02.06.2025	06:18:01.000	55165.621
02.06.2025	06:18:21.000	55165.725
02.06.2025	06:18:41.000	55165.673
02.06.2025	06:19:01.000	55165.531
02.06.2025	06:19:21.000	55165.605
02.06.2025	06:19:41.000	55165.605
02.06.2025	06:20:01.000	55165.744
02.06.2025	06:20:21.000	55165.886
02.06.2025	06:20:41.000	55166.03
02.06.2025	06:21:01.000	55166.118
02.06.2025	06:21:21.000	55166.057
02.06.2025	06:21:41.000	55165.981
02.06.2025	06:22:01.000	55166.141
02.06.2025	06:22:21.000	55166.367
02.06.2025	06:22:41.000	55166.44
02.06.2025	06:23:01.000	55166.415
02.06.2025	06:23:21.000	55166.457
02.06.2025	06:23:41.000	55166.595
02.06.2025	06:24:01.000	55166.627
